agency_cd	site_no	datetime	8278_00060_00003	8278_00060_00003_cd
USGS	11098000	2019-05-28	4.77	A
USGS	11098000	2019-05-29	4.57	A
USGS	11098000	2019-05-30	4.37	A
USGS	11098000	2019-05-31	4.34	A
USGS	11098000	2019-06-01	4.65	A
USGS	11098000	2019-06-02	4.98	A
USGS	11098000	2019-06-03	4.95	A
USGS	11098000	2019-06-04	4.15	A
USGS	11098000	2019-06-05	3.74	A
USGS	11098000	2019-06-06	3.55	A
USGS	11098000	2019-06-07	3.38	A
USGS	11098000	2019-06-08	3.25	A
USGS	11098000	2019-06-09	3.10	A
USGS	11098000	2019-06-10	2.90	A
USGS	11098000	2019-06-11	2.78	A
USGS	11098000	2019-06-12	2.75	A
USGS	11098000	2019-06-13	2.66	A
USGS	11098000	2019-06-14	2.66	A
USGS	11098000	2019-06-15	2.66	A
USGS	11098000	2019-06-16	2.61	A
USGS	11098000	2019-06-17	2.69	A
USGS	11098000	2019-06-18	2.66	A
USGS	11098000	2019-06-19	2.56	A
USGS	11098000	2019-06-20	2.64	A
USGS	11098000	2019-06-21	2.74	A
USGS	11098000	2019-06-22	2.80	A
USGS	11098000	2019-06-23	2.61	A
USGS	11098000	2019-06-24	2.34	A
USGS	11098000	2019-06-25	2.26	A
USGS	11098000	2019-06-26	2.28	A
USGS	11098000	2019-06-27	2.23	A
USGS	11098000	2019-06-28	2.05	A
USGS	11098000	2019-06-29	1.89	A
USGS	11098000	2019-06-30	1.74	A
USGS	11098000	2019-07-01	1.67	A
USGS	11098000	2019-07-02	1.63	A
USGS	11098000	2019-07-03	1.63	A
USGS	11098000	2019-07-04	1.65	A
USGS	11098000	2019-07-05	1.68	A
USGS	11098000	2019-07-06	1.67	A
USGS	11098000	2019-07-07	1.66	A
USGS	11098000	2019-07-08	1.68	A
USGS	11098000	2019-07-09	1.68	A
USGS	11098000	2019-07-10	1.69	A
USGS	11098000	2019-07-11	1.58	A
USGS	11098000	2019-07-12	1.46	A
USGS	11098000	2019-07-13	1.34	A
USGS	11098000	2019-07-14	1.28	A
USGS	11098000	2019-07-15	1.26	A
USGS	11098000	2019-07-16	1.23	A
USGS	11098000	2019-07-17	1.26	A
USGS	11098000	2019-07-18	1.24	A
USGS	11098000	2019-07-19	1.25	A
USGS	11098000	2019-07-20	1.24	A
USGS	11098000	2019-07-21	1.20	A
