agency_cd	site_no	datetime	7332_00060_00003	7332_00060_00003_cd
USGS	10263500	2019-05-28	28.9	A
USGS	10263500	2019-05-29	27.8	A
USGS	10263500	2019-05-30	26.8	A
USGS	10263500	2019-05-31	25.8	A
USGS	10263500	2019-06-01	25.0	A
USGS	10263500	2019-06-02	24.6	A
USGS	10263500	2019-06-03	24.2	A
USGS	10263500	2019-06-04	23.7	A
USGS	10263500	2019-06-05	22.9	A
USGS	10263500	2019-06-06	21.7	A:e
USGS	10263500	2019-06-07	20.8	A:e
USGS	10263500	2019-06-08	21.3	A:e
USGS	10263500	2019-06-09	18.8	A:e
USGS	10263500	2019-06-10	20.5	A
USGS	10263500	2019-06-11	20.5	A
USGS	10263500	2019-06-12	19.8	A
USGS	10263500	2019-06-13	19.8	A
USGS	10263500	2019-06-14	19.7	A
USGS	10263500	2019-06-15	19.8	A
USGS	10263500	2019-06-16	19.7	A
USGS	10263500	2019-06-17	19.9	A
USGS	10263500	2019-06-18	20.1	A:e
USGS	10263500	2019-06-19	19.6	A:e
USGS	10263500	2019-06-20	20.1	A:e
USGS	10263500	2019-06-21	18.1	A:e
USGS	10263500	2019-06-22	18.6	A:e
USGS	10263500	2019-06-23	18.2	A:e
USGS	10263500	2019-06-24	17.5	A:e
USGS	10263500	2019-06-25	17.3	A:e
USGS	10263500	2019-06-26	15.8	A:e
USGS	10263500	2019-06-27	17.4	A
USGS	10263500	2019-06-28	17.9	A
USGS	10263500	2019-06-29	17.4	A
USGS	10263500	2019-06-30	17.2	A
USGS	10263500	2019-07-01	17.1	A
USGS	10263500	2019-07-02	17.0	A
USGS	10263500	2019-07-03	16.6	A
USGS	10263500	2019-07-04	15.9	A
USGS	10263500	2019-07-05	15.0	A
USGS	10263500	2019-07-06	14.5	A
USGS	10263500	2019-07-07	15.1	A:e
USGS	10263500	2019-07-08	14.8	A:e
USGS	10263500	2019-07-09	16.0	A:e
USGS	10263500	2019-07-10	17.3	A
USGS	10263500	2019-07-11	16.4	A
USGS	10263500	2019-07-12	15.5	A
USGS	10263500	2019-07-13	14.6	A
USGS	10263500	2019-07-14	14.4	A
USGS	10263500	2019-07-15	14.5	A
USGS	10263500	2019-07-16	13.3	A:e
USGS	10263500	2019-07-17	15.5	A:e
USGS	10263500	2019-07-18	14.5	A:e
USGS	10263500	2019-07-19	16.4	A:e
