agency_cd	site_no	datetime	8265_00060_00003	8265_00060_00003_cd
USGS	11092450	2019-05-28	44.3	A
USGS	11092450	2019-05-29	51.3	A
USGS	11092450	2019-05-30	47.8	A
USGS	11092450	2019-05-31	55.1	A
USGS	11092450	2019-06-01	42.4	A
USGS	11092450	2019-06-02	45.3	A
USGS	11092450	2019-06-03	51.7	A
USGS	11092450	2019-06-04	51.6	A
USGS	11092450	2019-06-05	51.0	A
USGS	11092450	2019-06-06	52.0	A
USGS	11092450	2019-06-07	50.8	A
USGS	11092450	2019-06-08	50.5	A
USGS	11092450	2019-06-09	51.1	A
USGS	11092450	2019-06-10	49.1	A
USGS	11092450	2019-06-11	46.3	A
USGS	11092450	2019-06-12	49.7	A
USGS	11092450	2019-06-13	49.5	A
USGS	11092450	2019-06-14	49.5	A
USGS	11092450	2019-06-15	49.9	A
USGS	11092450	2019-06-16	50.1	A
USGS	11092450	2019-06-17	49.5	A
USGS	11092450	2019-06-18	48.5	A
USGS	11092450	2019-06-19	48.1	A
USGS	11092450	2019-06-20	47.5	A
USGS	11092450	2019-06-21	54.6	A
USGS	11092450	2019-06-22	51.1	A
USGS	11092450	2019-06-23	52.7	A
USGS	11092450	2019-06-24	50.9	A
USGS	11092450	2019-06-25	49.0	A
USGS	11092450	2019-06-26	49.6	A
USGS	11092450	2019-06-27	48.3	A
USGS	11092450	2019-06-28	45.5	A
USGS	11092450	2019-06-29	46.2	A
USGS	11092450	2019-06-30	46.4	A
USGS	11092450	2019-07-01	42.6	A
USGS	11092450	2019-07-02	46.7	A
USGS	11092450	2019-07-03	47.2	A
USGS	11092450	2019-07-04	42.4	A
USGS	11092450	2019-07-05	45.5	A
USGS	11092450	2019-07-06	34.9	A
USGS	11092450	2019-07-07	31.3	A
USGS	11092450	2019-07-08	35.4	A
USGS	11092450	2019-07-09	36.7	A
USGS	11092450	2019-07-10	40.0	A
USGS	11092450	2019-07-11	43.0	A
USGS	11092450	2019-07-12	49.0	A
USGS	11092450	2019-07-13	48.8	A
USGS	11092450	2019-07-14	44.5	A
USGS	11092450	2019-07-15	41.7	A
USGS	11092450	2019-07-16	39.8	A
USGS	11092450	2019-07-17	37.7	A
USGS	11092450	2019-07-18	36.2	A
USGS	11092450	2019-07-19	36.9	A
USGS	11092450	2019-07-20	35.6	A
USGS	11092450	2019-07-21	37.5	A
USGS	11092450	2019-07-22	30.0	A
USGS	11092450	2019-07-23	27.4	A
USGS	11092450	2019-07-24	18.6	A
USGS	11092450	2019-07-25	26.3	A
USGS	11092450	2019-07-26	27.3	A
USGS	11092450	2019-07-27	32.1	A
USGS	11092450	2019-07-28	32.4	A
USGS	11092450	2019-07-29	39.9	A
USGS	11092450	2019-07-30	37.2	A
USGS	11092450	2019-07-31	42.3	A
USGS	11092450	2019-08-01	36.1	A
USGS	11092450	2019-08-02	32.8	A
USGS	11092450	2019-08-03	72.1	A
USGS	11092450	2019-08-04	50.5	A
USGS	11092450	2019-08-05	40.4	A
USGS	11092450	2019-08-06	42.6	A
USGS	11092450	2019-08-07	46.4	A
USGS	11092450	2019-08-08	47.3	A
USGS	11092450	2019-08-09	44.7	A
USGS	11092450	2019-08-10	42.6	A
USGS	11092450	2019-08-11	44.5	A
USGS	11092450	2019-08-12	44.1	A
USGS	11092450	2019-08-13	44.9	A
USGS	11092450	2019-08-14	47.6	A
USGS	11092450	2019-08-15	48.1	A
USGS	11092450	2019-08-16	53.0	A
USGS	11092450	2019-08-17	55.2	A
USGS	11092450	2019-08-18	54.4	A
USGS	11092450	2019-08-19	50.7	A
USGS	11092450	2019-08-20	44.7	A
USGS	11092450	2019-08-21	44.4	A
USGS	11092450	2019-08-22	46.9	A
USGS	11092450	2019-08-23	47.8	A
USGS	11092450	2019-08-24	44.3	A
USGS	11092450	2019-08-25	46.0	A
USGS	11092450	2019-08-26	43.7	A
USGS	11092450	2019-08-27	42.0	A
USGS	11092450	2019-08-28	37.1	A
USGS	11092450	2019-08-29	30.6	A
USGS	11092450	2019-08-30	31.9	A
USGS	11092450	2019-08-31	36.4	A
USGS	11092450	2019-09-01	42.0	A
USGS	11092450	2019-09-02	40.4	A
USGS	11092450	2019-09-03	41.0	A
USGS	11092450	2019-09-04	41.8	A
USGS	11092450	2019-09-05	41.8	A
USGS	11092450	2019-09-06	44.4	A
USGS	11092450	2019-09-07	42.7	A
USGS	11092450	2019-09-08	43.8	A
USGS	11092450	2019-09-09	45.1	A
USGS	11092450	2019-09-10	44.8	A
USGS	11092450	2019-09-11	48.9	A
USGS	11092450	2019-09-12	43.1	A
USGS	11092450	2019-09-13	39.1	A
USGS	11092450	2019-09-14	37.1	A
USGS	11092450	2019-09-15	38.9	A
USGS	11092450	2019-09-16	40.0	A
USGS	11092450	2019-09-17	45.1	A
USGS	11092450	2019-09-18	42.9	A
